Postcode,Avg Property Price,Avg Rental Price
E1,"659,278",485
E2,"454,292",644
E3,"490,185",474
E4,"409,644",325
E5,"662,577",575
E6,"351,706",408
E7,"464,583",475
E8,"791,357",393
E9,"634,767",405
E10,"493,900",462
E11,"519,667",462
E12,"368,006",309
E13,"368,688",486
E14,"509,963",556
E15,"458,781",519
E16,"377,596",415
E17,"520,439",340
